Chief Executive Officer Robert Gannicott,201,109,113,0,0,0,0
Executive Officer Robert Gannicott Gannicott,201,110,114,0,0,0,0
Chief Executive Officer Robert,201,109,112,0,0,0,0
Executive Officer Robert Gannicott,201,110,113,0,0,0,0
Officer Robert Gannicott Gannicott,201,111,114,0,0,0,0
Aber Diamond Corp,201,0,2,1,1,1,1
Toronto Stock Exchange,201,18,20,0,0,0,0
Rio Tinto Plc,201,95,97,1,1,1,1
Chief Executive Officer,201,109,111,0,0,0,0
Executive Officer Robert,201,110,112,0,0,0,0
Officer Robert Gannicott,201,111,113,0,0,0,0
Robert Gannicott Gannicott,201,112,114,0,0,0,0
Harry Winston,201,7,8,0,0,0,0
Toronto Stock,201,18,19,0,0,0,0
Stock Exchange,201,19,20,0,0,0,0
Northwest Territories,201,82,83,0,0,0,0
Canadian Press,201,104,105,0,0,0,0
Chief Executive,201,109,110,0,0,0,0
Executive Officer,201,110,111,0,0,0,0
Officer Robert,201,111,112,0,0,0,0
Robert Gannicott,201,112,113,0,0,0,0
Gannicott Gannicott,201,113,114,0,0,0,0
Herald Sun,201,133,134,0,0,0,0
Alcan Inc,201,156,157,1,1,1,1
Winston,201,8,8,0,0,0,0
Exchange,201,20,20,0,0,0,0
Canadian,201,34,34,0,0,0,0
C$265,201,40,40,0,0,0,0
C$4279,201,45,45,0,0,0,0
Aber,201,60,60,1,0,1,1
Aber,201,71,71,1,0,1,1
Diavik,201,78,78,0,0,0,0
Territories,201,83,83,0,0,0,0
RIO,201,98,98,0,0,0,0
Press,201,105,105,0,0,0,0
Aber,201,108,108,1,0,1,1
Gannicott,201,114,114,0,0,0,0
Aber,201,117,117,1,0,1,1
Rio,201,125,125,1,0,1,1
Sun,201,134,134,0,0,0,0
Rio,201,141,141,1,0,1,1
Diavik,201,148,148,0,0,0,0
Chief Executive Officer Robert Milton,202,75,79,0,0,0,0
Kohlberg Kravis Roberts And Co,202,110,114,1,1,1,1
ACE Aviation Holdings Inc,202,0,3,1,1,1,1
Jazz Air Income Fund,202,14,17,1,1,1,1
West Face Capital Inc,202,37,40,1,1,1,1
Chief Executive Officer Robert,202,75,78,0,0,0,0
Executive Officer Robert Milton,202,76,79,0,0,0,0
Sunrise Partners LP,202,42,44,1,1,1,1
Chief Executive Officer,202,75,77,0,0,0,0
Executive Officer Robert,202,76,78,0,0,0,0
Officer Robert Milton,202,77,79,0,0,0,0
Kravis Roberts And,202,111,113,0,0,0,1
Aeroplan Income Fund,202,129,131,1,1,1,1
Toronto Stock Exchange,202,152,154,0,0,0,0
Aviation Holdings,202,1,2,0,1,1,1
Air Income,202,15,16,0,0,0,1
Jazz Air,202,22,23,1,0,1,1
Face Capital,202,38,39,0,1,1,1
ACE Aviation,202,54,55,1,0,1,1
Air Canada,202,60,61,1,0,0,1
ACE Aviation,202,68,69,1,0,1,1
Chief Executive,202,75,76,0,0,0,0
Executive Officer,202,76,77,0,0,0,0
Officer Robert,202,77,78,0,0,0,0
Robert Milton,202,78,79,0,0,0,0
Kravis Roberts,202,111,112,0,0,0,1
Roberts And,202,112,113,0,0,0,1
Air Canada,202,122,123,1,0,0,1
Air Canada,202,134,135,1,0,0,1
Toronto Stock,202,152,153,0,0,0,0
Stock Exchange,202,153,154,0,0,0,0
C$9685,202,8,8,0,0,0,0
Funds,202,34,34,0,0,0,0
AC/A,202,62,62,0,0,0,0
Milton,202,79,79,0,0,0,0
ACE,202,92,92,1,0,1,1
ACTS,202,102,102,0,0,0,0
ACE,202,117,117,1,0,1,1
ACE,202,140,140,1,0,1,1
C$154,202,142,142,0,0,0,0
C$2440,202,147,147,0,0,0,0
Exchange,202,154,154,0,0,0,0
Jazz,202,156,156,1,0,1,1
Chief Executive Officer Montie Brewer,203,22,26,0,0,0,0
Chief Financial Officer Francois Laurin,203,149,153,0,0,0,0
Chief Executive Officer Montie,203,22,25,0,0,0,0
Executive Officer Montie Brewer,203,23,26,0,0,0,0
ACE Aviation Holdings Inc,203,61,64,1,1,1,1
Chief Financial Officer Francois,203,149,152,0,0,0,0
Financial Officer Francois Laurin,203,150,153,0,0,0,0
Chief Executive Officer,203,22,24,0,0,0,0
Executive Officer Montie,203,23,25,0,0,0,0
Officer Montie Brewer,203,24,26,0,0,0,0
Mont Tremblant Quebec,203,52,54,0,0,0,0
Transat AT Inc,203,130,132,1,1,1,1
Chief Financial Officer,203,149,151,0,0,0,0
Financial Officer Francois,203,150,152,0,0,0,0
Officer Francois Laurin,203,151,153,0,0,0,0
CEO Joseph Randell,203,213,215,0,0,0,0
Air Canada,203,0,1,1,0,0,0
Chief Executive,203,22,23,0,0,0,0
Executive Officer,203,23,24,0,0,0,0
Officer Montie,203,24,25,0,0,0,0
Montie Brewer,203,25,26,0,0,0,0
Mont Tremblant,203,52,53,0,0,0,0
Tremblant Quebec,203,53,54,0,0,0,0
Air Canada,203,55,56,1,0,0,0
Aviation Holdings,203,62,63,0,1,1,1
Montreal Canadians,203,69,70,0,0,0,0
Air Transat,203,139,140,1,0,0,1
Chief Financial,203,149,150,0,1,1,1
Financial Officer,203,150,151,0,0,0,1
Officer Francois,203,151,152,0,0,0,0
Francois Laurin,203,152,153,0,0,0,0
Most US,203,159,160,0,0,0,0
The Canadian,203,174,175,0,0,0,0
Jazz Air,203,197,198,1,0,0,0
ACE Aviation,203,205,206,1,0,1,1
CEO Joseph,203,213,214,0,0,0,0
Joseph Randell,203,214,215,0,0,0,0
AC/B,203,2,2,0,0,0,0
Canadian,203,18,18,0,0,0,0
Brewer,203,26,26,0,0,0,0
We,203,28,28,0,0,0,0
Canadian,203,42,42,0,0,0,0
Brewer,203,45,45,0,0,0,0
AC/A,203,57,57,0,0,0,0
ACE/H,203,65,65,0,0,0,0
Canadians,203,70,70,0,0,0,0
US,203,77,77,0,0,0,0
US,203,91,91,0,0,0,0
Overnight,203,99,99,0,0,0,0
US,203,103,103,0,0,0,0
Canada,203,105,105,0,0,0,0
June,203,110,110,0,0,0,0
Canadian,203,126,126,0,0,0,0
TRZ/B,203,133,133,0,0,0,0
Canadian,203,136,136,0,0,0,0
Laurin,203,153,153,0,0,0,0
US,203,160,160,0,0,0,0
Canada,203,163,163,0,0,0,0
Canadian,203,175,175,0,0,0,0
Laurin,203,181,181,0,0,0,0
Randell,203,215,215,0,0,0,0
The International Air Transport Association,204,160,164,0,0,0,0
