National Football League's American Conference,000,70,74,0
National Football League's American,000,70,73,0
Football League's American Conference,000,71,74,0
Nielsen Media Research,000,39,41,0
National Football League's,000,70,72,0
Football League's American,000,71,73,0
League's American Conference,000,72,74,0
<markup>Katz Television Group</markup>,000,142,144,1
New York A,000,146,148,0
American Idol,000,0,1,0
Nielsen Media,000,39,40,0
Media Research,000,40,41,0
National Football,000,70,71,0
Football League's,000,71,72,0
League's American,000,72,73,0
American Conference,000,73,74,0
Simon Cowell,000,113,114,0
Randy Jackson,000,116,117,0
Bill Carroll,000,132,133,0
New York,000,146,147,0
York A,000,147,148,0
American,000,0,0,0
Idol,000,1,1,0
With,000,29,29,0
Nielsen,000,39,39,0
Media,000,40,40,0
Research,000,41,41,0
Idol,000,44,44,0
Idol,000,49,49,0
Fox,000,57,57,0
National,000,70,70,0
Football,000,71,71,0
League's,000,72,72,0
American,000,73,73,0
Conference,000,74,74,0
CBS,000,78,78,0
Sunday,000,80,80,0
Idol,000,88,88,0
Simon,000,113,113,0
Cowell,000,114,114,0
Randy,000,116,116,0
Jackson,000,117,117,0
Controversy,000,128,128,0
Bill,000,132,132,0
Carroll,000,133,133,0
Television,000,143,143,0
New,000,146,146,0
York,000,147,147,0
A,000,148,148,0
Idol,000,169,169,0
Carroll,000,184,184,0
<markup>Maanshan Iron And Steel Co</markup>,001,0,4,1
Iron And Steel,001,1,3,0
<markup>Credit Suisse Group</markup>,001,20,22,1
Iron And,001,1,2,0
And Steel,001,2,3,0
Hong Kong-listed,001,9,10,0
<markup>Maanshan Steel</markup>,001,26,27,1
Hong Kong-based,001,34,35,0
Trina Chen,001,37,38,0
Mick Mi,001,40,41,0
<markup>Maanshan Steel</markup>'s,001,47,48,1
<markup>Credit Suisse</markup>,001,107,108,1
<markup>Credit Suisse</markup>,001,177,178,1
Hong Kong,001,210,211,0
<markup>Credit Suisse</markup>,001,227,228,1
HK$590 The,001,234,235,0
Iron,001,1,1,0
And,001,2,2,0
Steel,001,3,3,0
China,001,6,6,0
Hong,001,9,9,0
Kong-listed,001,10,10,0
Suisse,001,21,21,0
Hong,001,34,34,0
Kong-based,001,35,35,0
Trina,001,37,37,0
Chen,001,38,38,0
Mick,001,40,40,0
Mi,001,41,41,0
China,001,71,71,0
Domestic,001,95,95,0
<markup>Maanshan</markup>,001,110,110,1
The<markup>Maanshan</markup>,001,121,121,1
We,001,137,137,0
China's,001,149,149,0
Profit,001,157,157,0
<markup>Maanshan</markup>,001,190,190,1
<markup>Maanshan</markup>,001,202,202,1
HK$457,001,208,208,0
Hong,001,210,210,0
Kong,001,211,211,0
HK$590,001,234,234,0
Oct,001,247,247,0
<markup>Fidentia Asset Management Ltd</markup>,002,20,23,1
Living Hands Umbrella Trust,002,127,130,0
South African Press Association,002,209,212,0
<markup>Absa Group Ltd</markup>,002,0,2,1
Living Hands Umbrella,002,127,129,0
Hands Umbrella Trust,002,128,130,0
Chairman Arthur Brown,002,150,152,0
South African Press,002,209,211,0
African Press Association,002,210,212,0
South Africa's,002,4,5,0
Danisa Baloyi,002,10,11,0
Asset Management,002,21,22,0
Cape Town-based,002,93,94,0
Living Hands,002,119,120,0
Living Hands,002,127,128,0
Hands Umbrella,002,128,129,0
Umbrella Trust,002,129,130,0
Chairman Arthur,002,150,151,0
Arthur Brown,002,151,152,0
Graham Maddock,002,155,156,0
Cape Town,002,167,168,0
South African,002,209,210,0
African Press,002,210,211,0
Press Association,002,211,212,0
<markup>Barclays Plc</markup>,002,225,226,1
Vernon Wessels,002,238,239,0
Adrian Cox,002,252,253,0
Frank Connelly,002,256,257,0
Group,002,1,1,0
South,002,4,4,0
Africa's,002,5,5,0
Danisa,002,10,10,0
Baloyi,002,11,11,0
Asset,002,21,21,0
Management,002,22,22,0
Baloyi,002,30,30,0
<markup>Absa</markup>,002,36,36,1
<markup>Absa</markup>,002,40,40,1
Baloyi,002,48,48,0
Johannesburg-based,002,60,60,0
<markup>Absa</markup>,002,61,61,1
Baloyi,002,68,68,0
<markup>Absa</markup>,002,70,70,1
Cape,002,93,93,0
Town-based,002,94,94,0
<markup>Fidentia</markup>,002,95,95,1
Feb,002,102,102,0
Baloyi,002,114,114,0
Living,002,119,119,0
Hands,002,120,120,0
<markup>Fidentia</markup>,002,122,122,1
Living,002,127,127,0
Hands,002,128,128,0
Umbrella,002,129,129,0
Trust,002,130,130,0
<markup>Fidentia</markup>,002,149,149,1
Chairman,002,150,150,0
Arthur,002,151,151,0
Brown,002,152,152,0
Graham,002,155,155,0
Maddock,002,156,156,0
Cape,002,167,167,0
Town,002,168,168,0
Brown,002,198,198,0
South,002,209,209,0
African,002,210,210,0
Press,002,211,211,0
Association,002,212,212,0
Brown's,002,215,215,0
<markup>Absa</markup>,002,221,221,1
UK's,002,228,228,0
To,002,231,231,0
Vernon,002,238,238,0
Wessels,002,239,239,0
Johannesburg,002,241,241,0
To,002,244,244,0
