<markup>Aber Diamond Corp</markup>,201,0,2,1
<markup>Rio Tinto Plc</markup>,201,95,97,1
Robert Gannicott Gannicott,201,112,114,0
Harry Winston,201,7,8,0
Northwest Territories,201,82,83,0
Canadian Press,201,104,105,0
Robert Gannicott,201,112,113,0
Gannicott Gannicott,201,113,114,0
Herald Sun,201,133,134,0
<markup>Alcan Inc</markup>,201,156,157,1
Diamond,201,1,1,0
Harry,201,7,7,0
Winston,201,8,8,0
Canadian,201,34,34,0
<markup>Aber</markup>,201,60,60,1
<markup>Aber</markup>,201,71,71,1
Diavik,201,78,78,0
Northwest,201,82,82,0
Territories,201,83,83,0
Tinto,201,96,96,0
Canadian,201,104,104,0
Press,201,105,105,0
<markup>Aber</markup>,201,108,108,1
Robert,201,112,112,0
Gannicott,201,113,113,0
Gannicott,201,114,114,0
<markup>Aber</markup>,201,117,117,1
<markup>Rio</markup>,201,125,125,1
Herald,201,133,133,0
Sun,201,134,134,0
<markup>Rio</markup>,201,141,141,1
Diavik,201,148,148,0
<markup>Kohlberg Kravis Roberts And Co</markup>,202,110,114,1
<markup>ACE Aviation Holdings Inc</markup>,202,0,3,1
<markup>Jazz Air Income Fund</markup>,202,14,17,1
<markup>West Face Capital Inc</markup>,202,37,40,1
<markup>Sunrise Partners LP</markup>,202,42,44,1
Kravis Roberts And,202,111,113,0
<markup>Aeroplan Income Fund</markup>,202,129,131,1
Aviation Holdings,202,1,2,0
Air Income,202,15,16,0
<markup>Jazz Air</markup>,202,22,23,1
Face Capital,202,38,39,0
<markup>ACE Aviation</markup>,202,54,55,1
<markup>Air Canada</markup>,202,60,61,1
<markup>ACE Aviation</markup>,202,68,69,1
Robert Milton,202,78,79,0
Kravis Roberts,202,111,112,0
Roberts And,202,112,113,0
<markup>Air Canada</markup>,202,122,123,1
<markup>Air Canada</markup>,202,134,135,1
Aviation,202,1,1,0
Air,202,15,15,0
Income,202,16,16,0
Funds,202,34,34,0
Face,202,38,38,0
Robert,202,78,78,0
<markup>ACE</markup>,202,92,92,1
Kravis,202,111,111,0
Roberts,202,112,112,0
<markup>ACE</markup>,202,117,117,1
Income,202,130,130,0
<markup>ACE</markup>,202,140,140,1
<markup>Jazz</markup>,202,156,156,1
<markup>ACE Aviation Holdings Inc</markup>,203,61,64,1
Mont Tremblant Quebec,203,52,54,0
<markup>Transat AT Inc</markup>,203,130,132,1
<markup>Air Canada</markup>,203,0,1,1
Montie Brewer,203,25,26,0
Mont Tremblant,203,52,53,0
Tremblant Quebec,203,53,54,0
<markup>Air Canada</markup>,203,55,56,1
Aviation Holdings,203,62,63,0
Montreal Canadians,203,69,70,0
<markup>Air Transat</markup>,203,139,140,1
Francois Laurin,203,152,153,0
Most US,203,159,160,0
