Nielsen Media Research,000,39,41,0,0,0,0,0
Katz Television Group,000,142,144,1,1,1,1,0
New York A,000,146,148,0,0,0,0,0
American Idol,000,0,1,0,0,0,0,1
Nielsen Media,000,39,40,0,0,0,0,0
Media Research,000,40,41,0,0,0,0,0
National Football,000,70,71,0,0,0,0,0
American Conference,000,73,74,0,0,0,0,0
Simon Cowell,000,113,114,0,0,0,0,0
Randy Jackson,000,116,117,0,0,0,0,0
Bill Carroll,000,132,133,0,0,0,0,0
York A,000,147,148,0,0,0,0,0
Idol,000,1,1,0,0,0,0,1
Research,000,41,41,0,0,0,0,0
Idol,000,44,44,0,0,0,0,1
Idol,000,49,49,0,0,0,0,1
Fox,000,57,57,0,0,0,0,0
Conference,000,74,74,0,0,0,0,0
Sunday,000,80,80,0,0,0,0,0
Idol,000,88,88,0,0,0,0,1
Cowell,000,114,114,0,0,0,0,0
Controversy,000,128,128,0,0,0,0,0
Carroll,000,133,133,0,0,0,0,0
Idol,000,169,169,0,0,0,0,1
Carroll,000,184,184,0,0,0,0,0
Maanshan Iron And Steel Co,001,0,4,1,1,1,1,1
Iron And Steel,001,1,3,0,0,0,1,1
Credit Suisse Group,001,20,22,1,1,1,1,1
Iron And,001,1,2,0,0,0,1,0
And Steel,001,2,3,0,0,0,1,1
Hong Kong-listed,001,9,10,0,0,0,0,0
Maanshan Steel,001,26,27,1,0,1,1,1
Trina Chen,001,37,38,0,0,0,0,0
Mick Mi,001,40,41,0,0,0,0,0
Maanshan Steel,001,47,48,1,0,1,1,1
Credit Suisse,001,108,109,1,0,1,1,1
Credit Suisse,001,179,180,1,0,1,1,1
Credit Suisse,001,229,230,1,0,1,1,1
HK$590 The,001,236,237,0,0,0,0,0
Kong-listed,001,10,10,0,0,0,0,0
Chen,001,38,38,0,0,0,0,0
Mi,001,41,41,0,0,0,0,0
Domestic,001,96,96,0,0,0,0,0
Maanshan,001,111,111,1,0,1,1,0
Maanshan,001,123,123,1,0,1,1,0
Profit,001,159,159,0,0,0,0,0
Maanshan,001,192,192,1,0,1,1,0
Maanshan,001,204,204,1,0,1,1,0
Kong,001,213,213,0,0,0,0,0
Fidentia Asset Management Ltd,002,20,23,1,1,1,1,1
Living Hands Umbrella Trust,002,127,130,0,1,1,1,0
South African Press Association,002,209,212,0,0,0,0,0
Absa Group Ltd,002,0,2,1,1,1,1,1
Living Hands Umbrella,002,127,129,0,0,1,1,0
Hands Umbrella Trust,002,128,130,0,1,1,1,0
Chairman Arthur Brown,002,150,152,0,0,0,0,0
South African Press,002,209,211,0,0,0,0,0
African Press Association,002,210,212,0,0,0,0,0
ASA South,002,3,4,0,0,0,0,0
Danisa Baloyi,002,10,11,0,0,0,0,1
Asset Management,002,21,22,0,1,1,1,0
Living Hands,002,119,120,0,0,1,1,0
Living Hands,002,127,128,0,0,1,1,0
Hands Umbrella,002,128,129,0,0,1,1,0
Umbrella Trust,002,129,130,0,1,1,1,0
Chairman Arthur,002,150,151,0,0,0,0,0
Arthur Brown,002,151,152,0,0,0,0,0
Graham Maddock,002,155,156,0,0,0,0,0
African Press,002,210,211,0,0,0,0,0
Press Association,002,211,212,0,0,0,0,0
Barclays Plc,002,225,226,1,1,1,1,0
Vernon Wessels,002,238,239,0,0,0,0,0
Adrian Cox,002,252,253,0,0,0,0,0
Frank Connelly,002,256,257,0,0,0,0,0
Baloyi,002,11,11,0,0,0,0,1
Baloyi,002,30,30,0,0,0,0,1
Absa,002,36,36,1,0,1,1,1
Absa,002,40,40,1,0,1,1,1
Baloyi,002,48,48,0,0,0,0,1
Absa,002,61,61,1,0,1,1,1
Baloyi,002,68,68,0,0,0,0,1
Absa,002,70,70,1,0,1,1,1
Fidentia,002,95,95,1,0,1,1,1
Baloyi,002,114,114,0,0,0,0,1
Hands,002,120,120,0,0,1,1,0
Fidentia,002,122,122,1,0,1,1,1
Fidentia,002,149,149,1,0,1,1,1
Brown,002,152,152,0,0,0,0,0
Maddock,002,156,156,0,0,0,0,0
Town,002,168,168,0,0,0,0,0
Brown,002,198,198,0,0,0,0,0
Association,002,212,212,0,0,0,0,0
Absa,002,221,221,1,0,1,1,1
Wessels,002,239,239,0,0,0,0,0
Cox,002,253,253,0,0,0,0,0
Connelly,002,257,257,0,0,0,0,0
ACE Aviation Holdings Inc,003,0,3,1,1,1,1,1
Jazz Air Income Fund,003,231,234,0,1,1,1,1
Jazz Air Income,003,231,233,0,0,1,1,1
Air Income Fund,003,232,234,0,1,1,1,1
Aviation Holdings,003,1,2,0,1,1,1,0
Air Canada,003,11,12,1,0,1,1,1
Air Canada,003,34,35,1,0,1,1,1
Pilots Association,003,36,37,0,0,0,0,1
Douglas Stanley,003,66,67,0,0,0,0,0
Air Canada,003,84,85,1,0,1,1,1
Teamsters Canada,003,146,147,0,0,0,0,1
Michel Picher,003,178,179,0,0,0,0,0
Canadian Union,003,199,200,0,0,0,0,0
Public Employees,003,202,203,0,0,0,0,0
Air Canada,003,207,208,1,0,1,1,1
Jazz Air,003,231,232,0,0,1,1,1
Air Income,003,232,233,0,0,1,1,1
Income Fund,003,233,234,0,1,1,1,0
Doug Alexander,003,286,287,0,0,0,0,0
Dave Versical,003,300,301,0,0,0,0,0
Association,003,37,37,0,0,0,0,0
ACE,003,69,69,1,0,1,1,1
Mechanics,003,99,99,0,0,0,0,0
Jazz,003,129,129,0,0,1,1,1
ACE,003,137,137,1,0,1,1,1
Jazz,003,166,166,0,0,1,1,1
Picher,003,179,179,0,0,0,0,0
Jazz,003,187,187,0,0,1,1,1
ACE,003,191,191,1,0,1,1,1
Employees,003,203,203,0,0,0,0,0
Shares,003,211,211,0,0,0,0,0
ACE,003,213,213,1,0,1,1,1
Units,003,229,229,0,0,0,0,0
ACE,003,240,240,1,0,1,1,1
Canadian,003,253,253,0,0,0,0,0
Income,003,263,263,0,0,1,1,0
Alexander,003,287,287,0,0,0,0,0
Versical,003,301,301,0,0,0,0,0
US District Judge Shira Scheindlin,004,185,189,0,0,0,0,0
Time Warner Cable Inc,004,155,158,1,1,1,1,0
US District Judge Shira,004,185,188,0,0,0,0,0
District Judge Shira Scheindlin,004,186,189,0,0,0,0,0
Weil Gotshal And Manges,004,267,270,1,0,0,0,0
Lehman Brothers Holdings Inc,004,333,336,1,1,1,1,0
Adelphia Communications Corp,004,3,5,1,1,1,1,1
Time Warner Inc,004,169,171,1,1,1,1,0
US District Judge,004,185,187,0,0,0,0,0
District Judge Shira,004,186,188,0,0,0,0,0
Judge Shira Scheindlin,004,187,189,0,0,0,0,0
Time Warner Cable,004,198,200,0,0,1,1,0
Robert D Sack,004,275,277,0,0,0,0,0
Jon O Newman,004,279,281,0,0,0,0,0
David M Friedman,004,349,351,0,0,0,0,0
Martin Bienenstock,004,116,117,0,0,0,0,0
Warner Cable,004,156,157,0,0,0,1,0
Comcast Corp,004,174,175,1,1,1,1,0
The Jan,004,179,180,0,0,0,0,0
US District,004,185,186,0,0,0,0,0
District Judge,004,186,187,0,0,0,0,0
Judge Shira,004,187,188,0,0,0,0,0
Shira Scheindlin,004,188,189,0,0,0,0,0
Time Warner,004,198,199,0,0,1,1,0
Warner Cable,004,199,200,0,0,0,1,0
Unreasonable Bienenstock,004,261,262,0,0,0,0,0
Gotshal And,004,268,269,0,0,0,0,0
Robert D,004,275,276,0,0,0,0,0
D Sack,004,276,277,0,0,0,0,0
Jon O,004,279,280,0,0,0,0,0
O Newman,004,280,281,0,0,0,0,0
America Securities,004,326,327,0,1,1,1,0
Brothers Holdings,004,334,335,0,1,1,1,0
David M,004,349,350,0,0,0,0,0
M Friedman,004,350,351,0,0,0,0,0
Adelphia,004,40,40,1,0,1,1,1
Bienenstock,004,117,117,0,0,0,0,0
Adelphia,004,161,161,1,0,1,1,1
Scheindlin,004,189,189,0,0,0,0,0
Cable,004,200,200,0,0,0,1,0
Adelphia,004,212,212,1,0,1,1,1
If,004,229,229,0,0,0,0,0
Adelphia,004,236,236,1,0,1,1,1
Adelphia,004,250,250,1,0,1,1,1
Bienenstock,004,262,262,0,0,0,0,0
Sack,004,277,277,0,0,0,0,0
Newman,004,281,281,0,0,0,0,0
Adelphia,004,283,283,1,0,1,1,1
Friedman,004,351,351,0,0,0,0,0
Adelphia,004,355,355,1,0,1,1,1
US Bankruptcy Judge Christopher Sontchi,005,54,58,0,0,0,0,0
Advanced Marketing Services Inc,005,0,3,1,1,1,1,1
Baker And Taylor Inc,005,28,31,1,1,1,1,1
